_id,age,draf,height,nation,number,player,position,pre_draf_team,team,weight,yos
5bfa2d1cdc6f74efb340a18e,23,"2017 NBA Draft, Undrafted",7-1,United States,2,Luke Kornet,F,Vanderbilt,New York Knicks,250,1
5bfa2d1cdc6f74efb340a18f,37,2003 Rnd 2 Pick 22,6-7,United States,26,Kyle Korver,SF,Creighton,Cleveland Cavaliers,212,15
5bfa2d1cdc6f74efb340a190,29,2008 Rnd 1 Pick 23,7-0,United StatesGreece,41,Kosta Koufos,C,Ohio State,Sacramento Kings,265,10
5bfa2d1cdc6f74efb340a191,20,2018 Rnd 2 Pick 10,6-9,Latvia,00,Rodions Kurucs,SF,FC Barcelona Lassa (Spain),Brooklyn Nets,210,0
5bfa2d1cdc6f74efb340a192,23,2017 Rnd 1 Pick 27,6-9,United States,0,Kyle Kuzma,F,Utah,Los Angeles Lakers,220,1
5bfa2d1cdc6f74efb340a193,23,2014 Rnd 1 Pick 13,6-5,United States,8,Zach LaVine,SG,UCLA,Chicago Bulls,200,4
5bfa2d1cdc6f74efb340a194,22,2016 Rnd 1 Pick 28,6-11,Haiti,7,Skal Labissiere,C,Kentucky,Sacramento Kings,225,2
5bfa2d1cdc6f74efb340a195,26,2012 Rnd 1 Pick 12,6-5,United States,3,Jeremy Lamb,SG,Connecticut,Charlotte Hornets,185,6
5bfa2d1cdc6f74efb340a196,24,2016 Rnd 2 Pick 17,6-9,United States,10,Jake Layman,SF,Maryland,Portland Trail Blazers,215,2
5bfa2d1cdc6f74efb340a197,24,2016 Rnd 1 Pick 20,6-7,United States,22,Caris LeVert,G,Michigan,Brooklyn Nets,204,2
5bfa2d1cdc6f74efb340a198,21,2017 Rnd 1 Pick 18,6-10,United StatesIsrael,22,T.J. Leaf,PF,UCLA,Indiana Pacers,225,1
5bfa2d1cdc6f74efb340a199,33,2008 Rnd 1 Pick 22,6-5,United States,5,Courtney Lee,SG,Western Kentucky,New York Knicks,200,10
5bfa2d1cdc6f74efb340a19a,26,"2016 NBA Draft, Undrafted",6-6,United States,1,Damion Lee,G,Louisville,Golden State Warriors,210,1
5bfa2d1cdc6f74efb340a19b,26,"2014 NBA Draft, Undrafted",6-3,United States,45,"Walt Lemon, Jr.",G,Bradley,Boston Celtics,180,1
5bfa2d1cdc6f74efb340a19c,25,2013 Rnd 1 Pick 5,7-1,Ukraine,25,Alex Len,C,Maryland,Atlanta Hawks,250,5
5bfa2d1cdc6f74efb340a19d,27,2011 Rnd 1 Pick 15,6-7,United States,2,Kawhi Leonard,F,San Diego State,Toronto Raptors,230,7
5bfa2d1cdc6f74efb340a19e,26,2012 Rnd 1 Pick 11,7-1,United States,11,Meyers Leonard,C,Illinois,Portland Trail Blazers,255,6
5bfa2d1cdc6f74efb340a19f,29,2011 Rnd 2 Pick 10,6-10,United States,30,Jon Leuer,PF,Wisconsin,Detroit Pistons,228,7
5bfa2d1cdc6f74efb340a1a0,28,2012 Rnd 1 Pick 6,6-3,United States,0,Damian Lillard,G,Weber State,Portland Trail Blazers,195,6
5bfa2d1cdc6f74efb340a1a1,30,"2010 NBA Draft, Undrafted",6-3,United States,7,Jeremy Lin,G,Harvard,Atlanta Hawks,200,8
5bfa2d1cdc6f74efb340a1a2,33,2004 Rnd 1 Pick 4,6-7,United States,34,Shaun Livingston,G,Peoria Central High School  (Illinois),Golden State Warriors,192,14
5bfa2d1cdc6f74efb340a1a3,26,"2018 NBA Draft, Undrafted",6-4,United States,18,Zach Lofton,G,New Mexico State,Detroit Pistons,180,0
5bfa2d1cdc6f74efb340a1a4,25,"2017 NBA Draft, Undrafted",6-4,Canada,30,Naz Long,PG,Iowa State,Utah Jazz,218,1
5bfa2d1cdc6f74efb340a1a5,22,2015 Rnd 1 Pick 30,6-9,United States,5,Kevon Looney,PF,UCLA,Golden State Warriors,220,3
5bfa2d1cdc6f74efb340a1a6,30,2008 Rnd 1 Pick 10,7-0,United States,11,Brook Lopez,C,Stanford,Milwaukee Bucks,270,10
5bfa2d1cdc6f74efb340a1a7,30,2008 Rnd 1 Pick 15,7-0,United States,42,Robin Lopez,FC,Stanford,Chicago Bulls,275,10
5bfa2d1cdc6f74efb340a1a8,30,2008 Rnd 1 Pick 5,6-10,United States,0,Kevin Love,FC,UCLA,Cleveland Cavaliers,251,10
5bfa2d1cdc6f74efb340a1a9,32,2006 Rnd 1 Pick 24,6-1,United States,7,Kyle Lowry,PG,Villanova,Toronto Raptors,196,12
5bfa2d1cdc6f74efb340a1aa,26,"2016 NBA Draft, Undrafted",6-4,United States,8,Jordan Loyd,G,Indianapolis,Toronto Raptors,210,0
5bfa2d1cdc6f74efb340a1ab,23,2016 Rnd 1 Pick 24,6-6,France,7,Timothe Luwawu-Cabarrot,F,KK Mega Bemax (Serbia),Oklahoma City Thunder,210,2
5bfa2d1cdc6f74efb340a1ac,22,2017 Rnd 1 Pick 24,6-10,United States,20,Tyler Lydon,PF,Syracuse,Denver Nuggets,225,1
5bfa2d1cdc6f74efb340a1ad,23,2015 Rnd 1 Pick 12,6-10,CanadaUnited States,7,Trey Lyles,SF,Kentucky,Denver Nuggets,234,3
5bfa2d1cdc6f74efb340a1ae,28,2011 Rnd 2 Pick 4,6-3,United States,6,Shelvin Mack,G,Butler,Memphis Grizzlies,203,7
5bfa2d1cdc6f74efb340a1af,24,"2018 NBA Draft, Undrafted",6-3,United States,3,Daryl Macon,PG,Arkansas,Dallas Mavericks,185,0
5bfa2d1cdc6f74efb340a1b0,24,"2018 NBA Draft, Undrafted",6-5,United States,55,J.P. Macura,SG,Xavier,Charlotte Hornets,205,0
5bfa2d1cdc6f74efb340a1b1,32,2005 Rnd 1 Pick 28,6-11,France,28,Ian Mahinmi,C,STB Le Havre (France),Washington Wizards,262,11
5bfa2d1cdc6f74efb340a1b2,21,2016 Rnd 1 Pick 10,7-1,South SudanAustralia,7,Thon Maker,C, ,Milwaukee Bucks,221,2
5bfa2d1cdc6f74efb340a1b3,30,"2010 NBA Draft, Undrafted",7-3,Serbia,51,Boban Marjanovic,C,KK Vrsac Swisslion (Serbia),Los Angeles Clippers,290,3
5bfa2d1cdc6f74efb340a1b4,21,2017 Rnd 1 Pick 7,7-0,Finland,24,Lauri Markkanen,SF,Arizona,Chicago Bulls,240,1
5bfa2d1cdc6f74efb340a1b5,24,2015 Rnd 1 Pick 25,6-10,United States,2,Jarell Martin,F,LSU,Orlando Magic,239,3
5bfa2d1cdc6f74efb340a1b6,24,2017 Rnd 2 Pick 4,5-11,United States,10,Frank Mason,G,Kansas,Sacramento Kings,190,1
5bfa2d1cdc6f74efb340a1b7,22,"2018 NBA Draft, Undrafted",6-8,United States,00,Yante Maten,PF,Georgia,Miami Heat,240,0
5bfa2d1cdc6f74efb340a1b8,32,"2009 NBA Draft, Undrafted",6-5,United States,23,Wesley Matthews,G,Marquette,Dallas Mavericks,220,9
5bfa2d1cdc6f74efb340a1b9,32,2008 Rnd 2 Pick 7,6-8,Cameroon,12,Luc Mbah a Moute,F,UCLA,Los Angeles Clippers,230,10
5bfa2d1cdc6f74efb340a1ba,27,2013 Rnd 1 Pick 10,6-3,United States,3,C.J. McCollum,G,Lehigh,Portland Trail Blazers,190,5
5bfa2d1cdc6f74efb340a1bb,26,"2015 NBA Draft, Undrafted",6-2,United States,12,T.J. McConnell,G,Arizona,Philadelphia Sixers,190,3
5bfa2d1cdc6f74efb340a1bc,26,2014 Rnd 1 Pick 11,6-8,United States,20,Doug McDermott,F,Creighton,Indiana Pacers,219,4
5bfa2d1cdc6f74efb340a1bd,30,2008 Rnd 1 Pick 18,7-0,United States,7,JaVale McGee,C,Nevada,Los Angeles Lakers,270,10
5bfa2d1cdc6f74efb340a1be,27,"2013 NBA Draft, Undrafted",6-4,United States,17,Rodney McGruder,SG,Kansas State,Miami Heat,200,2
5bfa2d1cdc6f74efb340a1bf,26,"2015 NBA Draft, Undrafted",6-8,United States,28,Alfonzo McKinnie,F,Green Bay,Golden State Warriors,215,1
5bfa2d1cdc6f74efb340a1c0,25,2013 Rnd 1 Pick 7,6-5,United States,23,Ben McLemore,SG,Kansas,Sacramento Kings,195,5
5bfa2d1cdc6f74efb340a1c1,27,2014 Rnd 2 Pick 28,6-5,United States,52,Jordan McRae,G,Tennessee,Washington Wizards,179,2
5bfa2d1cdc6f74efb340a1c2,31,2009 Rnd 2 Pick 11,6-4,United States,20,Jodie Meeks,G,Kentucky,Milwaukee Bucks,210,9
5bfa2d1cdc6f74efb340a1c3,32,"2008 NBA Draft, Undrafted",7-2,Tunisia,50,Salah Mejri,C,Etoile Sportive du Sahel (Tunisia),Dallas Mavericks,235,3
5bfa2d1cdc6f74efb340a1c4,20,2018 Rnd 2 Pick 16,6-4,United States,14,De'Anthony Melton,SG,USC,Phoenix Suns,200,0
5bfa2d1cdc6f74efb340a1c5,21,2018 Rnd 2 Pick 19,6-10,United StatesNigeria,7,Chimezie Metu,PF,USC,San Antonio Spurs,225,0
5bfa2d1cdc6f74efb340a1c6,27,2012 Rnd 2 Pick 9,6-8,United States,22,Khris Middleton,SF,Texas A&M,Milwaukee Bucks,222,6
5bfa2d1cdc6f74efb340a1c7,31,2005 Rnd 2 Pick 4,6-6,United States,0,C.J. Miles,GF,Skyline High School  (Texas),Toronto Raptors,230,13
5bfa2d1cdc6f74efb340a1c8,28,2012 Rnd 2 Pick 16,6-8,United States,21,Darius Miller,GF,Kentucky,New Orleans Pelicans,225,4
5bfa2d1cdc6f74efb340a1c9,30,2009 Rnd 2 Pick 25,6-0,Australia,8,Patty Mills,G,Saint Mary's,San Antonio Spurs,180,9
5bfa2d1cdc6f74efb340a1ca,33,2006 Rnd 2 Pick 17,6-8,United States,4,Paul Millsap,FC,Louisiana Tech,Denver Nuggets,246,12
